Attributes,Close,High,Low,Open,Volume
Symbols,TREX.US,TREX.US,TREX.US,TREX.US,TREX.US
Date,,,,,
2021-11-26,131.05,132.89,128.55,130.61,367261
2021-11-29,133.12,134.025,129.92,132.58,695630
2021-11-30,132.77,136.79,131.67,133.0,965004
2021-12-01,133.92,138.9,132.46,133.62,1427638
2021-12-02,135.26,136.83,133.11,133.53,866999
2021-12-03,134.78,137.88,131.2,137.88,731946
2021-12-06,135.17,135.6,131.59,135.13,883162
2021-12-07,137.39,138.09,135.11,137.0,639458
2021-12-08,140.49,140.9778,136.745,138.0,753243
2021-12-09,137.03,140.2,136.92,140.0,737849
2021-12-10,140.68,140.77,138.09,138.09,494655
2021-12-13,137.11,139.91,135.49,139.53,760005
2021-12-14,136.79,138.02,135.02,135.81,525536
2021-12-15,135.21,135.54,130.34,131.98,1294717
2021-12-16,130.62,135.89,129.3498,135.89,976343
2021-12-17,128.61,130.7,125.51,128.81,1761709
2021-12-20,125.69,128.08,124.05,127.68,865104
2021-12-21,128.39,128.655,125.463,127.41,649568
2021-12-22,131.4,131.83,127.91,128.98,485344
2021-12-23,132.81,133.39,131.01,131.61,315369
2021-12-27,136.76,137.12,132.595,134.16,577186
2021-12-28,134.74,137.97,134.23,137.01,528498
2021-12-29,134.36,136.355,133.4,135.26,634162
2021-12-30,132.88,136.26,132.88,134.85,461628
2021-12-31,135.03,135.46,132.28,133.23,666388
2022-01-03,132.01,136.7755,130.88,135.52,663520
2022-01-04,133.55,134.59,132.13,132.47,660691
2022-01-05,126.62,133.1,126.51,132.84,934494
2022-01-06,123.46,125.97,121.08,125.66,1157562
2022-01-07,116.94,124.8,116.75,123.09,1146666
2022-01-10,115.76,116.51,110.94,114.94,1645669
2022-01-11,116.93,117.04,112.06,115.23,959860
2022-01-12,113.91,118.8524,112.39,117.58,1213135
2022-01-13,110.73,118.5,110.59,114.29,1180337
2022-01-14,106.95,110.3,104.01,110.0,1627114
2022-01-18,101.03,106.0,100.87,104.35,1163678
2022-01-19,99.6,103.94,99.58,102.42,1054912
2022-01-20,95.34,101.93,95.2,101.02,1456520
2022-01-21,93.35,96.8815,92.72,94.23,1627428
2022-01-24,95.23,95.38,88.3233,91.48,1764093
2022-01-25,91.47,94.36,88.805,92.88,1431353
2022-01-26,89.55,95.8,88.61,93.62,1727231
2022-01-27,85.46,92.12,85.23,90.77,1565342
2022-01-28,87.21,87.22,83.595,85.8,1129092
2022-01-31,91.47,91.54,87.25,87.25,1772946
2022-02-01,95.61,96.3999,91.57,92.62,1650676
2022-02-02,95.84,96.77,93.7,95.59,1172723
2022-02-03,91.15,93.85,91.11,93.34,1029868
2022-02-04,89.3,91.0,87.28,90.9,954018
2022-02-07,88.67,90.56,88.08,89.0,781782
2022-02-08,90.41,91.35,87.77,87.77,660096
